ID,PjBL01,PjBL02,PjBL03,PjBL04,PjBL05,TK_pre,PK_pre,CK_pre,TPK_pre,TCK_pre,PCK_pre,TPACK_pre,S_pre,T_pre,E_pre,M_pre,ESD_PCK_pre,ESD_INQ_pre,ESD_EVA_pre,TPACK_total_pre,STEM_total_pre,ESD_total_pre,RPPInt_total_pre,TK_post,PK_post,CK_post,TPK_post,TCK_post,PCK_post,TPACK_post,S_post,T_post,E_post,M_post,ESD_PCK_post,ESD_INQ_post,ESD_EVA_post,TPACK_total_post,STEM_total_post,ESD_total_post,RPPInt_total_post
ID-30,3,3,3,4,4,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.0,3.0,3.3333333333333335,3.0,2.6666666666666665,3.3333333333333335,3.0,2.3333333333333335,2.727272727272727,1.69,2.8,3.285714285714285,2.8333333333333335,2.4057575757575758,2.8416017316017315,3.6666666666666665,4.0,3.6666666666666665,4.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.0,2.85,3.0,3.8095238095238098,3.583333333333333,2.9499999999999997,3.4476190476190474
ID-31,3,3,3,4,4,3.3333333333333335,2.33,3.6666666666666665,3.0,3.3333333333333335,3.6666666666666665,2.3333333333333335,3.6666666666666665,3.6666666666666665,3.3333333333333335,2.6666666666666665,1.2,2.923076923076923,1.6,3.094761904761905,3.333333333333333,1.9076923076923074,2.778595848595849,3.6666666666666665,4.0,4.0,3.6666666666666665,4.0,4.0,4.0,3.6666666666666665,4.0,3.6666666666666665,3.3333333333333335,2.86,3.0,3.0,3.9047619047619047,3.6666666666666665,2.953333333333333,3.508253968253968
ID-32,4,4,3,4,4,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.5,2.5,1.5,1.0,2.0,2.0,2.0,1.2857142857142858,1.875,2.0,1.7202380952380951,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,4.0,3.6666666666666665,3.0,3.0,2.6666666666666665,2.6666666666666665,2.0,2.0,2.0,3.4761904761904767,2.833333333333333,2.0,2.76984126984127
ID-33,4,3,3,4,4,2.0,2.5,1.5,2.5,2.0,2.5,2.0,2.0,2.0,1.5,1.5,1.6818181818181819,1.3846153846153846,1.8,2.142857142857143,1.75,1.622144522144522,1.8383338883338884,2.5,4.0,2.5,2.5,2.5,4.0,2.0,3.5,3.5,1.5,1.5,2.5454545454545454,2.5384615384615383,2.8,2.857142857142857,2.5,2.6279720279720276,2.6617049617049617
ID-34,4,4,3,4,4,2.3333333333333335,3.0,3.0,2.3333333333333335,2.3333333333333335,3.0,2.3333333333333335,2.6666666666666665,3.3333333333333335,3.0,2.3333333333333335,1.2,1.0,1.0,2.619047619047619,2.8333333333333335,1.0666666666666667,2.173015873015873,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.0,3.0,2.4545454545454546,2.6153846153846154,2.85,3.5714285714285716,3.375,2.63997668997669,3.1954684204684205
ID-35,4,3,4,4,4,2.3333333333333335,2.3333333333333335,1.67,3.0,2.6666666666666665,2.5,2.3333333333333335,2.0,2.0,2.0,1.67,2.0,2.3846153846153846,2.2,2.405238095238095,1.9175,2.194871794871795,2.17253663003663,3.0,3.3333333333333335,3.0,3.0,3.0,3.67,2.3333333333333335,3.33,3.67,3.67,3.33,3.0,3.0,3.0,3.048095238095238,3.5,3.0,3.1826984126984126
ID-36,4,4,3,4,4,2.3333333333333335,2.6666666666666665,1.33,2.3333333333333335,2.6666666666666665,3.6666666666666665,2.3333333333333335,3.0,2.0,2.0,2.3333333333333335,1.7272727272727273,1.9230769230769231,1.8,2.4757142857142855,2.3333333333333335,1.816783216783217,2.2086102786102786,3.6666666666666665,3.0,3.0,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,3.6666666666666665,3.75,3.75,3.3333333333333335,3.0,3.0,3.0,3.142857142857143,3.625,3.0,3.255952380952381
ID-37,3,3,3,4,4,2.0,2.5,3.0,2.0,2.5,3.0,2.0,2.0,2.5,1.5,1.0,1.9090909090909092,2.0,2.0,2.4285714285714284,1.75,1.9696969696969697,2.0494227994227994,3.0,3.3333333333333335,3.6666666666666665,2.6666666666666665,3.0,3.0,3.0,2.6666666666666665,3.0,3.0,2.3333333333333335,2.4545454545454546,2.076923076923077,2.2,3.095238095238095,2.75,2.243822843822844,2.6963536463536464
ID-38,3,3,3,3,4,2.5,2.5,3.5,2.5,2.5,2.5,2.5,3.0,2.5,3.5,3.0,2.227272727272727,2.6923076923076925,2.4,2.642857142857143,3.0,2.4398601398601403,2.6942390942390944,3.0,3.0,3.67,3.0,3.0,3.95,3.0,3.33,3.0,3.67,3.33,3.0,3.0,3.0,3.2314285714285718,3.3325,3.0,3.1879761904761907
ID-39,4,3,4,4,4,2.0,2.5,1.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.5,2.0,2.0,2.0,1.9285714285714286,2.0,2.0,1.9761904761904763,2.5,3.75,3.0,3.0,2.75,3.5,2.5,3.5,3.25,3.75,2.5,2.6818181818181817,3.0,3.0,3.0,3.25,2.893939393939394,3.047979797979798
ID-40,4,3,3,4,4,2.0,2.6666666666666665,2.3333333333333335,2.0,2.0,2.6666666666666665,2.0,3.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,2.9545454545454546,2.5384615384615383,2.6,2.238095238095238,2.4166666666666665,2.697668997668998,2.4508103008103013,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,2.5,2.9545454545454546,2.769230769230769,2.6,3.857142857142857,3.625,2.7745920745920745,3.418911643911644
ID-41,4,3,3,4,4,1.6666666666666667,3.0,2.6666666666666665,2.0,1.6666666666666667,3.0,1.6666666666666667,3.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.0454545454545454,2.230769230769231,2.2,2.238095238095238,2.0833333333333335,2.158741258741259,2.16005661005661,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.0,3.6666666666666665,3.3333333333333335,3.0,2.6666666666666665,2.8181818181818183,3.0,2.2,3.4761904761904767,3.1666666666666665,2.6727272727272733,3.1051948051948055
ID-42,3,3,4,4,4,2.3333333333333335,2.0,2.33,1.33,2.0,2.33,2.0,2.0,2.0,1.6666666666666667,1.3333333333333333,2.272727272727273,2.3846153846153846,1.8,2.046190476190476,1.75,2.1524475524475526,1.982879342879343,3.0,3.67,3.67,3.75,2.0,3.5,2.0,3.3333333333333335,2.0,2.0,2.0,2.8636363636363638,2.769230769230769,3.0,3.084285714285714,2.3333333333333335,2.877622377622378,2.765080475080475
ID-43,3,4,4,4,4,1.3333333333333333,2.6666666666666665,3.0,1.6666666666666667,1.3333333333333333,2.67,1.3333333333333333,2.5,1.3333333333333333,2.0,1.6666666666666667,2.1363636363636362,2.0,2.4,2.0004761904761907,1.875,2.178787878787879,2.018088023088023,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.3333333333333335,3.5,2.5,3.0,3.0,3.0,3.0,3.142857142857143,3.0833333333333335,3.0,3.0753968253968256
ID-44,4,4,4,4,4,2.3333333333333335,2.5,1.0,1.0,1.33,1.0,1.6666666666666667,1.5,2.3333333333333335,1.5,1.3333333333333333,2.0,2.230769230769231,2.0,1.5471428571428572,1.6666666666666667,2.076923076923077,1.7635775335775339,3.67,3.67,3.0,3.75,3.5,3.5,2.5,3.6666666666666665,2.5,3.0,1.5,3.0,3.0,3.0,3.37,2.6666666666666665,3.0,3.0122222222222224
ID-45,3,3,4,4,4,3.3333333333333335,2.0,3.3333333333333335,2.6666666666666665,2.6666666666666665,1.67,2.6666666666666665,1.67,2.3333333333333335,3.3333333333333335,2.0,1.8181818181818181,1.4615384615384615,2.0,2.6195238095238094,2.334166666666667,1.75990675990676,2.2378657453657453,3.67,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.0,3.3333333333333335,3.6666666666666665,3.0,3.0,3.0,3.3814285714285712,3.3333333333333335,3.0,3.238253968253968
ID-46,3,3,4,4,4,1.75,2.33,2.75,2.5,2.25,3.0,2.25,2.25,3.0,2.75,1.5,1.9545454545454546,2.0,2.0,2.404285714285714,2.375,1.984848484848485,2.2547113997114,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.409090909090909,2.6923076923076925,2.8,3.4285714285714284,3.5,2.6337995337995337,3.187456987456988
ID-47,4,4,3,4,4,1.5,2.5,2.25,1.25,1.75,2.5,2.0,1.5,1.5,1.5,2.0,1.9090909090909092,2.1538461538461537,2.2,1.9642857142857142,1.625,2.0876456876456877,1.8923104673104671,3.0,3.5,3.5,2.5,3.0,3.5,2.5,3.5,3.5,3.0,2.5,2.8636363636363638,2.923076923076923,2.8,3.0714285714285716,3.125,2.8622377622377626,3.019555444555445
ID-48,4,3,3,4,4,2.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.0,3.3333333333333335,2.0,3.0,2.3333333333333335,2.0,1.6666666666666667,1.5,2.923076923076923,2.2,2.2857142857142856,2.25,2.207692307692308,2.247802197802198,3.5,3.5,3.5,3.5,3.0,3.5,3.5,3.5,3.5,2.5,3.5,2.45,2.923076923076923,2.6,3.4285714285714284,3.25,2.6576923076923076,3.112087912087912
ID-49,3,3,3,4,4,2.5,3.5,3.0,2.5,2.5,2.0,1.5,3.0,2.0,3.0,2.0,1.23,2.6923076923076925,1.4,2.5,2.5,1.774102564102564,2.258034188034188,3.0,4.0,3.0,3.0,3.0,3.95,3.0,3.0,3.0,3.0,3.0,2.18,2.6923076923076925,2.8,3.2785714285714285,3.0,2.5574358974358975,2.9453357753357756
ID-50,4,4,4,4,4,1.0,1.0,2.0,1.5,1.0,2.5,1.0,2.0,2.5,1.5,1.0,1.4090909090909092,1.7692307692307692,1.0,1.4285714285714286,1.75,1.3927738927738929,1.523781773781774,3.0,4.0,3.0,3.0,2.5,3.5,3.0,3.0,3.0,3.0,1.5,2.772727272727273,2.6923076923076925,2.8,3.142857142857143,2.625,2.755011655011655,2.8409562659562657
ID-51,4,4,4,4,4,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.0,2.0,2.3333333333333335,2.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,1.9090909090909092,2.230769230769231,1.2,2.0952380952380953,1.8333333333333335,1.77995337995338,1.9028416028416029,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.6818181818181817,2.8461538461538463,2.6,4.0,3.0,2.709324009324009,3.2364413364413362
ID-52,4,4,4,4,4,1.3333333333333333,2.6666666666666665,3.0,1.0,1.3333333333333333,3.0,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,2.772727272727273,2.923076923076923,1.2,1.9047619047619049,1.5,2.2986013986013987,1.9011211011211013,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.95,3.5714285714285716,4.0,2.983333333333333,3.5182539682539677
ID-53,4,3,3,4,4,2.0,3.3333333333333335,2.3333333333333335,3.0,2.6666666666666665,3.3333333333333335,2.3333333333333335,2.67,2.3333333333333335,2.33,2.0,2.1818181818181817,2.0,1.2,2.7142857142857144,2.3333333333333335,1.793939393939394,2.2805194805194806,3.5,4.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.75,3.0,2.5454545454545454,2.3846153846153846,2.2,3.857142857142857,3.4375,2.3766899766899767,3.2237776112776118
